instance	category	node_limit	time_limit_sec	hard_kill_sec	observed_nodes	observed_elapsed_sec	observed_result
fcnf_search_n50_d8_s2_3_sl0.95_sd7	concluded_fast	108	120	300	36	10.71	Optimal solution found
fcnf_search_n50_d8_s2_3_sl0.9_sd42	concluded_fast	1380	120	300	460	13.28	Optimal solution found
fcnf_search_n50_d8_s4_5_sl0.95_sd137	concluded_fast	498	120	300	166	12.22	Optimal solution found
fcnf_search_n50_d9_s4_5_sl0.95_sd7	concluded_fast	675	120	300	225	15.24	Optimal solution found
fcnf_search_n55_d10_s2_3_sl0.99_sd7	concluded_fast	1764	120	300	588	20.91	Optimal solution found
fcnf_search_n55_d10_s3_4_sl0.95_sd7	concluded_fast	4500	120	300	1500	50.17	Optimal solution found
fcnf_search_n55_d10_s3_4_sl0.99_sd7	concluded_fast	2262	120	300	754	56.05	Optimal solution found
fcnf_search_n55_d10_s4_5_sl0.99_sd42	concluded_fast	1935	120	300	645	19.75	Optimal solution found
fcnf_search_n55_d10_s4_5_sl0.9_sd7	concluded_fast	3486	120	300	1162	34.22	Optimal solution found
fcnf_search_n55_d8_s4_5_sl0.95_sd42	concluded_fast	9762	120	300	3254	46.92	Optimal solution found
fcnf_search_n55_d8_s4_5_sl0.99_sd42	concluded_fast	6951	120	300	2317	38.94	Optimal solution found
fcnf_search_n55_d9_s4_5_sl0.99_sd7	concluded_fast	1134	120	300	378	18.19	Optimal solution found
fcnf_search_n55_d9_s4_5_sl0.9_sd137	concluded_fast	2001	120	300	667	24.79	Optimal solution found
gap_10a30t_sd42_medium_uniform_uniform	concluded_fast	0	120	300	0	0.02	Optimal solution found
gap_4a35t_sd137_tight_anticorr_uniform	concluded_fast	2493	120	300	831	0.74	Optimal solution found
gap_4a35t_sd42_tight_anticorr_uniform	concluded_fast	5115	120	300	1705	0.87	Optimal solution found
gap_4a40t_sd42_tight_anticorr_variable	concluded_fast	18522	120	300	6174	1.32	Optimal solution found
gap_5a20t_sd137_tight_structured_uniform	concluded_fast	0	120	300	0	0.01	Optimal solution found
gap_5a20t_sd42_tight_uniform_uniform	concluded_fast	0	120	300	0	0.01	Optimal solution found
gap_5a30t_sd42_tight_anticorr_variable	concluded_fast	30276	120	300	10092	8.35	Optimal solution found
gap_5a35t_sd137_tight_anticorr_variable	concluded_fast	36702	120	300	12234	10.57	Optimal solution found
gap_6a30t_sd137_tight_anticorr_heavy	concluded_fast	35880	120	300	11960	14.38	Optimal solution found
gap_6a30t_sd42_tight_anticorr_uniform	concluded_fast	5376	120	300	1792	3.01	Optimal solution found
gap_6a35t_sd42_tight_anticorr_uniform	concluded_fast	930	120	300	310	1.68	Optimal solution found
gap_search_6a30t_sd1_a1.12_heavy	concluded_fast	42885	120	300	14295	12.46	Optimal solution found
gap_search_6a30t_sd2_a1.1_heavy	concluded_fast	45423	120	300	15141	13.37	Optimal solution found
gap_search_6a32t_sd1_a1.1_heavy	concluded_fast	80250	120	300	26750	33.89	Optimal solution found
gap_search_6a35t_sd2_a1.1_heavy	concluded_fast	102588	120	300	34196	39.95	Optimal solution found
gap_search_6a35t_sd3_a1.12_variable	concluded_fast	119244	120	300	39748	58.1	Optimal solution found
gap_search_6a35t_sd3_a1.1_heavy	concluded_fast	35898	120	300	11966	9.95	Optimal solution found
gap_search_6a38t_sd1_a1.12_heavy	concluded_fast	35925	120	300	11975	10.45	Optimal solution found
gap_search_7a30t_sd1_a1.1_variable	concluded_fast	76710	120	300	25570	34.2	Optimal solution found
gap_search_7a30t_sd3_a1.12_heavy	concluded_fast	47304	120	300	15768	19.52	Optimal solution found
gap_search_7a30t_sd3_a1.15_variable	concluded_fast	33198	120	300	11066	10.27	Optimal solution found
gap_search_7a32t_sd4_a1.1_variable	concluded_fast	33906	120	300	11302	12.76	Optimal solution found
gap_search_7a35t_sd2_a1.12_variable	concluded_slow	109761	120	240	36587	62.6	Optimal solution found
gap_search_7a35t_sd4_a1.1_heavy	concluded_fast	33405	120	300	11135	13.91	Optimal solution found
gap_search_7a38t_sd2_a1.1_variable	concluded_fast	33195	120	300	11065	11.96	Optimal solution found
gap_search_7a38t_sd3_a1.12_variable	concluded_fast	60390	120	300	20130	34.12	Optimal solution found
gc_complete_k6	concluded_fast	0	120	300	0	0	Optimal solution found
gc_cycle_c4_bipartite	concluded_fast	0	120	300	0	0	Optimal solution found
gc_cycle_c5	concluded_fast	0	120	300	0	0	Optimal solution found
gc_geometric_n25_sd42	concluded_fast	0	120	300	0	0.06	Optimal solution found
gc_k_partite_n24_sd137	concluded_fast	0	120	300	0	0.03	Optimal solution found
gc_mycielski_n11_sd1	concluded_fast	0	120	300	0	0.02	Optimal solution found
gc_mycielski_n23_sd1	concluded_fast	768	120	300	256	3.46	Optimal solution found
gc_petersen	concluded_fast	0	120	300	0	0.01	Optimal solution found
gc_planar_n28_sd42	concluded_fast	0	120	300	0	0.05	Optimal solution found
gc_random_n20_sd42	concluded_fast	0	120	300	0	0.04	Optimal solution found
gc_random_n30_sd137	concluded_fast	0	120	300	0	0.18	Optimal solution found
gc_random_n48_p0.5_sd3	concluded_fast	498	120	300	166	16.78	Optimal solution found
gc_random_n52_p0.4_sd4	concluded_slow	864	120	240	288	81.98	Optimal solution found
gc_random_n52_p0.4_sd5	concluded_fast	1578	120	300	526	55.96	Optimal solution found
gc_random_n52_p0.5_sd1	concluded_fast	1080	120	300	360	25.97	Optimal solution found
gc_random_n52_p0.5_sd4	concluded_fast	327	120	300	109	30.46	Optimal solution found
gc_random_n54_p0.4_sd1	concluded_slow	522	120	240	174	71.26	Optimal solution found
gc_random_n54_p0.4_sd5	concluded_fast	246	120	300	82	19.04	Optimal solution found
gc_random_n54_p0.5_sd1	concluded_fast	660	120	300	220	42.27	Optimal solution found
gc_random_n56_p0.4_sd2	concluded_fast	186	120	300	62	18.08	Optimal solution found
gc_random_n56_p0.4_sd3	concluded_slow	798	120	240	266	64.84	Optimal solution found
gc_random_n56_p0.5_sd3	concluded_fast	636	120	300	212	32.28	Optimal solution found
gc_random_n58_p0.5_sd1	concluded_fast	126	120	300	42	18.64	Optimal solution found
gc_random_n58_p0.6_sd1	concluded_fast	1134	120	300	378	49.8	Optimal solution found
gc_random_n60_p0.4_sd5	concluded_slow	441	120	240	147	69.84	Optimal solution found
gc_random_n60_p0.6_sd1	concluded_fast	900	120	300	300	32.82	Optimal solution found
gc_triangle_k3	concluded_fast	0	120	300	0	0	Optimal solution found
hcnd_medium_dense	concluded_fast	24	120	300	8	2.3	Optimal solution found
hcnd_medium_manycomm	concluded_fast	72	120	300	24	1.16	Optimal solution found
hcnd_medium_sparse	concluded_fast	0	120	300	0	0.01	Optimal solution found
hcnd_n14_ep0.4_k10_H4_sd8	concluded_fast	5676	120	300	1892	17.71	Optimal solution found
hcnd_n14_ep0.4_k8_H4_sd5	concluded_fast	4983	120	300	1661	18.31	Optimal solution found
hcnd_n15_ep0.35_k10_H4_sd1	concluded_fast	7449	120	300	2483	23.58	Optimal solution found
hcnd_n15_ep0.35_k8_H4_sd1	concluded_fast	4386	120	300	1462	17.74	Optimal solution found
hcnd_n15_ep0.4_k10_H4_sd4	concluded_fast	6237	120	300	2079	22.52	Optimal solution found
hcnd_n15_ep0.4_k10_H4_sd7	concluded_slow	29328	120	240	9776	67.04	Optimal solution found
hcnd_n15_ep0.4_k8_H4_sd3	concluded_fast	9588	120	300	3196	29.51	Optimal solution found
hcnd_n16_ep0.35_k10_H4_sd6	concluded_fast	4650	120	300	1550	19.06	Optimal solution found
hcnd_n16_ep0.35_k10_H4_sd7	concluded_fast	7512	120	300	2504	23.2	Optimal solution found
hcnd_n16_ep0.35_k8_H4_sd1	concluded_fast	14910	120	300	4970	51.54	Optimal solution found
hcnd_n16_ep0.3_k10_H4_sd6	concluded_fast	19881	120	300	6627	28.45	Optimal solution found
hcnd_n16_ep0.3_k8_H4_sd7	concluded_fast	2829	120	300	943	14.66	Optimal solution found
hcnd_n16_ep0.4_k10_H4_sd5	concluded_fast	2550	120	300	850	17.6	Optimal solution found
hcnd_n16_ep0.4_k10_H4_sd6	concluded_fast	13140	120	300	4380	34.1	Optimal solution found
hcnd_n16_ep0.4_k8_H4_sd8	concluded_fast	588	120	300	196	18.23	Optimal solution found
hcnd_small_dense	concluded_fast	0	120	300	0	0.01	Optimal solution found
hcnd_small_sparse	concluded_fast	0	120	300	0	0	Optimal solution found
hcnd_tiny_capforce	concluded_fast	0	120	300	0	0	Optimal solution found
hcnd_tiny_hop1	concluded_fast	0	120	300	0	0	Optimal solution found
hcnd_tiny_hopchoice	concluded_fast	0	120	300	0	0	Optimal solution found
hcnd_tiny_shared	concluded_fast	0	120	300	0	0	Optimal solution found
jssp_ft06	concluded_fast	13077	120	300	4359	3.18	Optimal solution found
jssp_ft10	not_concluded	39486	120	300	198020	300.9	Stopped on time limit
jssp_la01	not_concluded	209345	120	300	1048120	300.4	Stopped on time limit
jssp_la06	not_concluded	160986	120	300	805978	300.39	Stopped on time limit
jssp_la11	not_concluded	6061	120	300	30325	300.19	Stopped on time limit
jssp_orb01	not_concluded	162561	120	300	813672	300.32	Stopped on time limit
jssp_search_n7_m5_uniform_pt1-20_s2	concluded_fast	204996	120	300	68332	20.06	Optimal solution found
jssp_search_n7_m6_uniform_pt1-20_s1	concluded_fast	219738	120	300	73246	27.65	Optimal solution found
jssp_search_n7_m7_bimodal_pt1-20_s1	concluded_fast	88416	120	300	29472	11.27	Optimal solution found
jssp_search_n7_m7_uniform_pt1-20_s2	concluded_fast	180138	120	300	60046	22.17	Optimal solution found
jssp_search_n7_m7_uniform_pt1-99_s3	concluded_fast	113445	120	300	37815	13.26	Optimal solution found
jssp_search_n8_m5_uniform_pt1-20_s3	concluded_fast	92127	120	300	30709	12.05	Optimal solution found
jssp_search_n8_m6_bimodal_pt1-99_s1	concluded_fast	82134	120	300	27378	11.69	Optimal solution found
jssp_search_n8_m6_skewed_pt1-20_s2	concluded_fast	121437	120	300	40479	18.28	Optimal solution found
jssp_search_n8_m7_skewed_pt1-50_s2	concluded_fast	346428	120	300	115476	29.8	Optimal solution found (within gap tolerance)
jssp_search_n9_m5_bimodal_pt1-50_s2	concluded_fast	82437	120	300	27479	18.11	Optimal solution found
jssp_search_n9_m5_skewed_pt1-50_s1	concluded_fast	101511	120	300	33837	28.75	Optimal solution found (within gap tolerance)
jssp_search_n9_m6_skewed_pt1-20_s3	concluded_fast	189426	120	300	63142	26.26	Optimal solution found
jssp_search_n9_m7_bimodal_pt1-99_s2	concluded_fast	232170	120	300	77390	46.46	Optimal solution found
jssp_search_n9_m7_skewed_pt1-20_s3	concluded_fast	160818	120	300	53606	31.64	Optimal solution found
jssp_search_n9_m7_skewed_pt1-50_s3	concluded_fast	6330	120	300	2110	12.14	Optimal solution found
mis_n15_sd42_random_uniform	concluded_fast	0	120	300	0	0.01	Optimal solution found
mis_n16_sd137_grid_diverse	concluded_fast	0	120	300	0	0.01	Optimal solution found
mis_n18_sd42_k_partite_uniform	concluded_fast	0	120	300	0	0.01	Optimal solution found
mis_n20_sd137_tree_uniform	concluded_fast	0	120	300	0	0	Optimal solution found
